0.000s | tick 0 | track 1 | Time Signature 4/4 (clocks 24, 32nds 8)
0.000s | tick 0 | track 1 | Tempo 162.00 BPM (370370 us/qn)
0.000s | tick 0 | track 1 | Track Name: "Elec. Piano (Classic)"
0.000s | tick 0 | track 1 | ch 1 | Program Change 4 (#5)
0.000s | tick 0 | track 1 | ch 1 | Note On C3 (48) vel 33
0.000s | tick 0 | track 1 | ch 1 | Note On C4 (60) vel 37
0.000s | tick 0 | track 1 | ch 1 | Note On C4 (60) vel 26
0.000s | tick 0 | track 1 | ch 1 | Note On D#4 (63) vel 26
0.000s | tick 0 | track 1 | ch 1 | Note On G4 (67) vel 26
0.833s | tick 864 | track 1 | ch 1 | Note Off C4 (60) vel 0
0.833s | tick 864 | track 1 | ch 1 | Note Off C3 (48) vel 0
0.833s | tick 864 | track 1 | ch 1 | Note On D4 (62) vel 37
0.833s | tick 864 | track 1 | ch 1 | Note On D3 (50) vel 33
1.204s | tick 1248 | track 1 | ch 1 | Note Off D3 (50) vel 0
1.204s | tick 1248 | track 1 | ch 1 | Note Off D4 (62) vel 0
1.204s | tick 1248 | track 1 | ch 1 | Note On D#4 (63) vel 37
1.204s | tick 1248 | track 1 | ch 1 | Note On D#3 (51) vel 33
1.574s | tick 1632 | track 1 | ch 1 | Note Off D#3 (51) vel 0
1.574s | tick 1632 | track 1 | ch 1 | Note Off D#4 (63) vel 0
1.574s | tick 1632 | track 1 | ch 1 | Note Off G4 (67) vel 0
1.574s | tick 1632 | track 1 | ch 1 | Note Off D#4 (63) vel 0
1.574s | tick 1632 | track 1 | ch 1 | Note Off C4 (60) vel 0
1.574s | tick 1632 | track 1 | ch 1 | Note On F4 (65) vel 37
1.574s | tick 1632 | track 1 | ch 1 | Note On F3 (53) vel 33
1.574s | tick 1632 | track 1 | ch 1 | Note On G#4 (68) vel 26
1.574s | tick 1632 | track 1 | ch 1 | Note On C4 (60) vel 26
1.574s | tick 1632 | track 1 | ch 1 | Note On F4 (65) vel 26
2.315s | tick 2400 | track 1 | ch 1 | Note Off F3 (53) vel 0
2.315s | tick 2400 | track 1 | ch 1 | Note Off F4 (65) vel 0
2.315s | tick 2400 | track 1 | ch 1 | Note On C4 (60) vel 37
2.315s | tick 2400 | track 1 | ch 1 | Note On C3 (48) vel 33
2.685s | tick 2784 | track 1 | ch 1 | Note Off C3 (48) vel 0
2.685s | tick 2784 | track 1 | ch 1 | Note Off C4 (60) vel 0
2.685s | tick 2784 | track 1 | ch 1 | Note On F4 (65) vel 37
2.685s | tick 2784 | track 1 | ch 1 | Note On F3 (53) vel 33
3.056s | tick 3168 | track 1 | ch 1 | Note Off F3 (53) vel 0
3.056s | tick 3168 | track 1 | ch 1 | Note Off F4 (65) vel 0
3.056s | tick 3168 | track 1 | ch 1 | Note Off F4 (65) vel 0
3.056s | tick 3168 | track 1 | ch 1 | Note Off C4 (60) vel 0
3.056s | tick 3168 | track 1 | ch 1 | Note Off G#4 (68) vel 0
3.056s | tick 3168 | track 1 | ch 1 | Note On E4 (64) vel 37
3.056s | tick 3168 | track 1 | ch 1 | Note On E3 (52) vel 33
3.056s | tick 3168 | track 1 | ch 1 | Note On A4 (69) vel 26
3.056s | tick 3168 | track 1 | ch 1 | Note On C4 (60) vel 26
3.056s | tick 3168 | track 1 | ch 1 | Note On E4 (64) vel 26
3.796s | tick 3936 | track 1 | ch 1 | Note Off E3 (52) vel 0
3.796s | tick 3936 | track 1 | ch 1 | Note Off E4 (64) vel 0
3.796s | tick 3936 | track 1 | ch 1 | Note On C4 (60) vel 37
3.796s | tick 3936 | track 1 | ch 1 | Note On C3 (48) vel 33
4.167s | tick 4320 | track 1 | ch 1 | Note Off C3 (48) vel 0
4.167s | tick 4320 | track 1 | ch 1 | Note Off C4 (60) vel 0
